trId	geneId	NA06984	NA06985	NA06986	NA06989	NA06994	NA07037	NA07048	NA07051	NA07056	NA07346	NA07347	NA07357	NA10847	NA10851	NA11829	NA11830	NA11831	NA11832	NA11840	NA11843	NA11881	NA11892	NA11893	NA11894	NA11918	NA11920	NA11930	NA11931	NA11992	NA11993	NA11994	NA11995	NA12004	NA12005	NA12006	NA12043	NA12044	NA12045	NA12058	NA12144	NA12154	NA12155	NA12156	NA12234	NA12249	NA12272	NA12273	NA12275	NA12282	NA12283	NA12286	NA12287	NA12340	NA12341	NA12342	NA12347	NA12348	NA12383	NA12399	NA12400	NA12413	NA12489	NA12546	NA12716	NA12717	NA12718	NA12749	NA12750	NA12751	NA12760	NA12761	NA12762	NA12763	NA12775	NA12776	NA12777	NA12778	NA12812	NA12813	NA12814	NA12815	NA12827	NA12829	NA12830	NA12842	NA12843	NA12872	NA12873	NA12874	NA12889	NA12890
ENST00000221972.3	ENSG00000105369.4	17539.896484	11736.374023	8851.333984	20269.601563	5995.208008	7615.525879	15531.121094	14620.380859	11979.912109	15770.454102	12116.798828	14510.461914	10070.524414	12509.304688	7848.641113	8870.442383	21145.03125	11694.841797	16950.724609	15324.02832	11132.673828	7666.472656	19682.146484	12064.355469	17604.560547	31779.589844	10969.12207	37595.449219	9181.924805	14141.726563	11683.129883	10601.701172	5445.734375	6441.868164	12003.966797	20016.75	17060.501953	12412.618164	7207.11084	17602.484375	23504.845703	7469.271484	18571.322266	15608.832031	12237.802734	21665.875	14042.467773	11470.72168	17632.648438	14788.564453	17884.363281	6277.753906	5359.553223	17434.060547	8450.832031	17396.082031	6146.86377	11814.561523	7199.03125	11150.333984	8638.441406	5444.581055	13515.457031	8266.762695	27534.244141	6164.639648	19428.228516	5428.643066	9163.355469	6245.6875	11274.15625	5562.53125	10219.514648	8609.853516	14585.882813	11231.213867	15338.722656	6876.112793	23425.140625	4689.109863	13351.478516	6568.022949	11225.964844	14558.600586	11625.332031	7028.328613	23056.412109	4370.324219	13402.731445	11361.692383	11598.124023
ENST00000440177.2	ENSG00000105722.4	780.980164	747.071045	369.374542	245.792267	69.132339	415.843811	310.106842	801.32074	633.564392	326.893524	247.730072	1025.415894	87.147179	1008.568298	392.039429	0	1468.639404	568.783569	155.652267	375.604675	795.821045	643.69397	460.536774	603.194214	497.535431	228.962555	530.836121	317.990448	570.82312	136.756439	166.010696	82.48774	32.127132	668.35437	1123.5802	665.187622	1284.192993	743.115417	459.176941	305.387024	1133.108154	803.907349	1305.491333	936.242981	629.554749	462.726837	285.713165	327.944702	430.675385	538.223511	726.656921	29.765474	313.954529	365.218658	371.867371	655.669556	480.473511	913.878296	372.744843	220.473984	698.926208	450.336975	69.769676	313.980164	604.84021	407.418091	118.183678	430.67511	565.530762	470.944183	425.0271	384.8414	559.757874	494.804352	126.604675	510.634613	1185.454712	492.484833	464.999146	406.77771	791.799683	498.384857	475.011475	1290.244629	508.756958	360.257111	894.128479	359.867798	620.152222	648.763489	185.485306
ENST00000222329.3	ENSG00000105722.4	967.019836	608.928955	574.625427	548.207764	246.867661	474.156189	677.893127	494.67926	678.435608	793.106445	514.269897	546.584106	270.852814	983.431702	607.960571	444	1767.360596	863.216492	820.347778	466.395325	672.178955	764.30603	863.463196	448.805756	856.4646	683.037476	211.163834	708.009521	743.17688	735.243591	581.989319	319.512268	217.872879	669.64563	902.419678	922.812378	1327.807129	612.884644	266.82309	802.613037	1028.891724	784.092651	938.508606	723.756958	472.445251	743.273193	500.286804	704.055298	507.324615	551.776489	809.343018	392.234528	404.045471	776.781372	468.132629	554.330444	615.526489	498.121704	397.255157	335.526031	759.073792	245.66301	554.230347	202.019852	837.159729	282.581909	285.816315	383.32486	644.469238	401.055786	604.9729	407.15863	466.242126	367.195648	345.395325	341.365417	802.545349	329.515167	607.000854	203.22226	602.200256	287.615143	906.988525	1231.755493	487.243011	359.742859	1165.871582	328.132202	931.847778	733.236511	448.514709
ENST00000252530.4	ENSG00000130244.7	301.502808	220	149.959671	314	104	176.007141	220	300	244	66.068474	200	222	77.493546	205.032272	223.023178	262	531.465271	249.768021	299.082764	226.000015	187.505157	185.284897	350.529449	211.241928	302	324.658386	87.348442	388.235718	181.552917	284	277.665863	202	90	137.885757	239.81543	294.318268	276.079102	302	138.070404	224.000015	433.147064	172.834457	314	206	146	198.193802	130	182	164	255.999985	260	122.118576	76	175.829575	150.572266	332.694153	93.907928	175.06427	97.999992	124	223.431824	124	220.927246	102	342	108	265.256592	116.481178	312	80.203911	220	70.274971	186.918579	172.825684	186	360.675507	507.858337	136	240	138	322	129.126221	202.649063	250	284	86.18441	311.83786	94	226	340	206
ENST00000343358.6	ENSG00000130244.7	0	0	8.040327	0	0	15.992861	0	0	0	213.931519	0	0	15.501655	24.967724	18.976814	0	26.534748	30.23197	20.917238	0	12.494843	6.715106	11.470557	12.758082	0	22.835674	10.65156	0	64.447083	0	12.334152	0	0	32.114243	26.18458	31.681753	41.920906	0	11.929586	0	0	11.165542	0	0	0	11.806196	0	0	0	0	0	13.881424	0	20.170433	11.427737	11.305855	14.092072	12.935728	0	0	12.568177	0	11.072765	0	0	0	0	17.518814	0	15.796086	0	11.725029	27.081413	11.174317	0	18.149122	26.141674	0	0	0	0	16.873779	11.350942	0	0	11.815595	48.162144	0	0	0	0
ENST00000447337.1	ENSG00000105518.7	1044.956421	831.907532	722.329712	1089.859253	474.132568	772.617859	942.239746	1011.202759	902.658691	1592.767822	714.087524	962.823853	479.369812	722.598267	862.711243	613.310181	1694.315063	1059.284058	1771.542603	915.14801	766.012939	974.258301	1204.953491	675.483459	994.120667	933.414246	537.781494	1375.338013	841.264832	1078.521973	839.301758	727.738586	335.830688	834.161987	1041.084961	1333.360107	1217.248169	994.129211	527.778625	1143.623535	1037.713379	806.772888	1791.612793	973.864685	931.993835	1177.655396	885.100281	1008.08905	968.855103	1148.10437	1072.689331	384.812408	359.631287	1123.886841	559.584106	1045.987793	476.974792	856.636108	494.265991	701.628418	1185.883179	465.267883	879.562866	506.61145	1251.729492	543.147583	707.549194	435.698242	1246.101563	681.034241	1169.363892	453.827972	747.299133	622.439636	737.3349	493.40686	1326.197876	437.528351	1038.466309	376.94516	1096.593994	703.783203	1123.219604	918.470398	865.703918	373.468567	1205.462524	422.850281	1379.305298	693.926819	848.001892
ENST00000354882.4	ENSG00000105518.7	292.763794	240.092468	227.670288	588.140808	181.867432	245.382126	273.760193	352.797211	243.341339	477.232239	339.912506	261.176147	310.797943	447.401733	257.288696	604.689819	583.684937	330.715912	452.457458	462.85199	255.987091	295.741669	559.046387	180.516525	485.879333	871.575562	128.218521	566.552246	246.735184	443.478058	426.698212	318.261383	174.169296	233.838028	232.915039	504.639862	442.751862	361.870819	174.36731	514.376404	468.507751	239.227066	390.387268	268.135315	296.006195	592.344666	294.899689	369.910889	513.144958	417.89566	391.310669	449.271423	134.368683	592.11322	194.415833	452.012207	199.025177	345.363861	161.734039	348.371613	280.11673	74.732132	454.437134	139.388565	362.270538	128.852448	570.548584	270.301758	425.898346	124.965759	280.636108	124.172012	184.700806	185.560394	290.665161	446.396545	423.802155	108.471642	407.53363	105.05481	453.406036	176.216812	492.780334	267.529633	382.296082	132.531433	384.537506	147.149719	454.694672	284.073212	375.998108
ENST00000347900.5	ENSG00000126259.10	5.670136	0	0	0	4	2.04735	0	1.012041	0	1.200109	0	0	0.196674	0	0	0	19.387316	0	0	0	0	8.061457	5.204968	0	1.452822	0	0	3.867022	11.470005	4.88181	0	0	2	0	2.759997	9.303448	3.266925	6	0	2.245582	0	0	0	0	0	98.438774	80.155838	78.933929	1.382649	0	0	13.276836	0	0	0	1.70791	10.150414	10.963341	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0.514741	0	8.29459	2	16.309574	0	0	0.421643	0	0	0	5.789853	0	0	0.892502	0	3.144346
ENST00000270294.6	ENSG00000126259.10	0	0	0	0.56928	0	0	4.092636	0	0	0	1.044089	0	0	0	2.36578	0.269915	0	1.854919	0	2.767322	0.36193	0	0	0	0	2.057854	4	0	0	0	4.877364	0.076289	0	0.441849	0	0	0	0	0	0	0	0	0.83749	0	0	0	0	0	23.740133	0	0	0	0	0	2.398734	4.551293	0	0	0	0	9.454634	0	0	4.756195	0	0	8.732856	2.781579	1.225816	0	3.307493	0	0	0	0	0	0	0	1.569953	0	0	0	0	0.520011	0	0	4.514771	2	3.107498	0	0
ENST00000360202.4	ENSG00000126259.10	0.329864	0	0	2.398144	0	0	0	4.441308	0	0	12.955911	6	0	0	3.723603	6.084608	6.612685	0.476709	6	0	7.638069	0	0.795031	4	0	4.262661	0	4.132977	3.637026	2.891842	1.965207	17.923712	0	0	0	2.696552	32.733074	0	4.021828	0	0	0	2.641396	170	59.003414	153.561218	93.177078	63.925591	214.877213	137.818359	112.320595	4.723163	0	0	4.766599	2.161414	7.861791	11.036659	0	4	2.5048	0	0	1.243805	4	0	3.267144	1.218421	6.774185	0	0.692507	0	0	0	2.926093	1.978403	6.170614	0	4.120472	0	2.038192	3.248979	17.247393	19.479988	0	5.337948	55.689835	0	0	0	20.855654
